sheet,after,employees,NJ
118,0,10,1
118,1,18,1
119,0,12,1
119,1,18,1
120,0,0,1
120,1,0,1
122,0,1,1
122,1,10,1
123,0,0,1
123,1,5,1
124,0,8,1
124,1,21,1
125,0,15,1
125,1,0,1
128,0,6.5,1
128,1,3,1
129,0,20,1
129,1,7,1
130,0,7,1
130,1,2,1
131,0,15,1
131,1,8,1
132,0,20,1
132,1,15,1
133,0,6,1
133,1,3,1
134,0,5.5,1
134,1,6,1
135,0,10,1
135,1,8,1
137,0,15,1
137,1,12,1
138,0,4.5,1
138,1,2,1
140,0,0,1
140,1,5,1
141,0,10,1
141,1,10,1
142,0,15,1
142,1,40,1
144,0,10,1
144,1,4,1
145,0,5,1
145,1,10,1
146,0,8,1
146,1,0,1
147,0,8.5,1
147,1,6,1
148,0,4.5,1
148,1,7.5,1
149,0,0,1
149,1,8,1
150,0,0,1
150,1,12,1
151,0,1,1
151,1,0,1
152,0,35,1
152,1,12,1
153,0,0,1
153,1,26.5,1
156,0,8,1
156,1,2,1
157,0,10,1
157,1,12,1
158,0,2,1
158,1,3,1
159,0,6,1
159,1,10,1
161,0,8,1
161,1,26,1
162,0,0,1
162,1,3,1
163,0,12,1
163,1,1.5,1
164,0,4,1
164,1,5,1
165,0,20,1
165,1,10,1
166,0,8,1
166,1,0,1
168,0,5,1
168,1,0,1
169,0,12,1
169,1,20,1
170,0,10,1
170,1,20,1
171,0,2,1
171,1,10,1
172,0,0,1
172,1,7,1
173,0,6,1
173,1,11,1
174,0,11,1
174,1,20,1
176,0,15,1
176,1,20,1
178,0,13,1
178,1,1,1
179,0,2,1
179,1,2,1
180,0,8,1
180,1,0,1
181,0,0,1
181,1,1,1
182,0,3,1
182,1,0,1
183,0,12,1
183,1,15,1
185,0,2,1
185,1,2,1
186,0,10,1
186,1,12,1
187,0,4,1
187,1,5,1
189,0,4,1
189,1,0,1
190,0,5,1
190,1,7,1
191,0,30,1
191,1,0,1
192,0,20,1
192,1,4.5,1
193,0,1,1
193,1,4,1
195,0,0,1
195,1,8,1
196,0,8,1
196,1,0,1
197,0,23,1
197,1,5,1
199,0,0,1
199,1,11,1
200,0,0,1
200,1,5,1
201,0,0,1
201,1,16,1
202,0,30,1
202,1,13,1
203,0,9,1
203,1,4,1
204,0,10,1
204,1,12,1
207,0,8,1
207,1,8.5,1
208,0,12,1
208,1,5,1
209,0,4,1
209,1,6,1
210,0,0,1
210,1,0,1
211,0,3,1
211,1,2,1
212,0,11,1
212,1,20,1
213,0,4.5,1
213,1,12,1
214,0,2,1
214,1,0,1
215,0,10,1
215,1,20,1
216,0,2,1
216,1,2,1
217,0,2,1
217,1,0,1
218,0,7,1
218,1,5,1
219,0,3,1
219,1,9,1
220,0,3,1
220,1,3,1
221,0,1,1
221,1,1,1
222,0,2,1
222,1,2,1
223,0,3,1
223,1,3,1
225,0,3,1
225,1,12,1
226,0,0,1
226,1,0,1
228,0,3,1
228,1,11,1
229,0,3,1
229,1,22,1
230,0,0,1
230,1,15,1
232,0,18,1
232,1,18,1
233,0,19,1
233,1,15,1
234,0,0,1
234,1,10,1
236,0,0,1
236,1,23,1
237,0,12,1
237,1,9,1
238,0,0,1
238,1,25,1
239,0,15,1
239,1,0,1
240,0,15,1
240,1,15,1
241,0,15,1
241,1,15,1
242,0,25,1
242,1,12,1
243,0,7,1
243,1,7,1
244,0,12,1
244,1,16,1
245,0,15,1
245,1,8,1
247,0,0,1
247,1,0,1
248,0,8,1
248,1,10,1
249,0,6,1
249,1,10,1
250,0,1,1
250,1,2,1
253,0,7,1
253,1,4,1
254,0,20,1
254,1,28,1
255,0,0,1
255,1,8,1
258,0,4,1
258,1,20,1
259,0,13,1
259,1,15,1
260,0,10,1
260,1,4,1
262,0,7,1
262,1,0,1
264,0,0,1
264,1,0,1
265,0,0,1
265,1,0,1
267,0,6.5,1
267,1,30,1
268,0,10,1
268,1,0,1
269,0,2,1
269,1,10,1
271,0,0,1
271,1,0,1
272,0,4,1
272,1,2,1
273,0,2,1
273,1,2,1
274,0,0,1
274,1,3,1
275,0,4,1
275,1,1,1
276,0,5,1
276,1,5,1
277,0,2,1
277,1,1,1
278,0,3,1
278,1,0,1
282,0,2,1
282,1,0,1
284,0,5,1
284,1,6,1
285,0,3,1
285,1,3,1
286,0,1,1
286,1,2,1
287,0,3,1
287,1,2,1
288,0,0,1
288,1,5,1
289,0,2,1
289,1,3,1
290,0,8,1
290,1,0,1
291,0,4,1
291,1,5,1
292,0,10,1
292,1,15,1
294,0,0,1
294,1,0,1
296,0,5,1
296,1,4,1
297,0,9,1
297,1,15,1
299,0,3,1
299,1,6,1
301,0,8,1
301,1,2,1
303,0,10,1
303,1,12,1
304,0,10,1
304,1,10,1
305,0,0,1
305,1,5,1
306,0,15,1
306,1,6,1
307,0,17.5,1
307,1,25,1
310,0,0,1
310,1,3,1
311,0,0,1
311,1,35,1
312,0,4,1
312,1,3,1
313,0,11,1
313,1,0,1
314,0,8,1
314,1,15,1
315,0,5,1
315,1,4.5,1
316,0,15,1
316,1,12,1
317,0,0,1
317,1,4,1
318,0,5,1
318,1,7,1
319,0,0,1
319,1,22,1
320,0,5,1
320,1,4,1
321,0,3,1
321,1,4,1
322,0,8,1
322,1,12,1
324,0,20,1
324,1,22,1
325,0,4,1
325,1,1,1
326,0,18,1
326,1,0,1
330,0,4,1
330,1,3,1
333,0,2,1
333,1,3,1
334,0,10,1
334,1,0,1
335,0,9,1
335,1,7,1
336,0,28,1
336,1,10,1
337,0,5,1
337,1,25,1
339,0,18,1
339,1,5,1
340,0,6,1
340,1,15,1
341,0,2,1
341,1,3,1
343,0,10,1
343,1,4,1
346,0,2,1
346,1,3,1
348,0,3,1
348,1,0,1
349,0,2.5,1
349,1,0,1
350,0,8,1
350,1,5,1
351,0,2,1
351,1,10,1
354,0,14,1
354,1,9,1
355,0,2,1
355,1,3,1
356,0,11.5,1
356,1,0,1
357,0,4.5,1
357,1,21,1
359,0,0,1
359,1,0,1
360,0,3,1
360,1,5,1
361,0,6,1
361,1,4,1
362,0,6,1
362,1,24,1
363,0,0,1
363,1,14,1
364,0,3.5,1
364,1,1,1
366,0,2,1
366,1,1,1
368,0,0,1
368,1,0,1
369,0,0,1
369,1,0,1
370,0,20,1
370,1,26,1
371,0,12,1
371,1,11,1
372,0,0,1
372,1,30,1
373,0,14,1
373,1,18,1
375,0,25,1
375,1,0,1
376,0,4,1
376,1,0,1
377,0,12,1
377,1,11,1
378,0,10,1
378,1,20,1
379,0,20,1
379,1,28,1
380,0,10,1
380,1,15,1
381,0,10,1
381,1,15,1
383,0,6,1
383,1,7,1
385,0,16,1
385,1,15,1
386,0,0,1
386,1,14,1
391,0,15,1
391,1,12,1
393,0,4,1
393,1,18,1
396,0,24,1
396,1,8,1
397,0,4,1
397,1,6,1
398,0,14,1
398,1,25,1
399,0,13,1
399,1,18,1
400,0,16,1
400,1,8,1
401,0,8,1
401,1,5,1
402,0,11,1
402,1,17,1
403,0,13,1
403,1,11,1
405,0,6,1
405,1,1.5,1
406,0,12,1
406,1,17,1
407,0,2,0
407,1,1,0
408,0,5,1
408,1,8,1
409,0,3,1
409,1,0,1
410,0,0,1
410,1,0,1
411,0,0,1
411,1,4,1
412,0,0,1
412,1,0,1
413,0,0,1
413,1,0,1
414,0,0,1
414,1,13,1
415,0,8,1
415,1,0,1
417,0,4,1
417,1,13,1
418,0,30,1
418,1,0,1
419,0,3,1
419,1,5,1
421,0,20,1
421,1,25,1
422,0,0,1
422,1,5,1
423,0,2,1
423,1,19,1
424,0,3.5,1
424,1,12,1
426,0,3,1
426,1,5,1
427,0,7,1
427,1,0,1
428,0,0,1
428,1,10,1
430,0,20,0
430,1,0,0
432,0,20,0
432,1,25,0
433,0,10,0
433,1,0,0
434,0,15,0
434,1,19,0
435,0,1,0
435,1,0,0
438,0,0,0
438,1,2,0
440,0,0,0
440,1,0,0
441,0,30,0
441,1,0,0
443,0,4,0
443,1,5,0
444,0,12,0
444,1,10,0
445,0,50,0
445,1,15,0
448,0,8,0
448,1,8,0
449,0,0,0
449,1,15,0
450,0,2,0
450,1,27.5,0
451,0,10,0
451,1,26,0
454,0,1,0
454,1,0,0
455,0,2,0
455,1,3,0
458,0,2,0
458,1,2,0
459,0,5,0
459,1,0,0
462,0,2.5,0
462,1,1,0
466,0,8,0
466,1,14,0
468,0,40,0
468,1,9,0
469,0,8,0
469,1,7,0
470,0,10.5,0
470,1,18,0
471,0,25,0
471,1,12,0
472,0,37.5,0
472,1,8,0
473,0,5,0
473,1,26,0
474,0,6,0
474,1,5,0
475,0,25,0
475,1,10,0
476,0,6,0
476,1,5,0
477,0,8,0
477,1,6,0
478,0,32,0
478,1,8,0
481,0,5,0
481,1,15,0
483,0,1,0
483,1,4,0
485,0,1,0
485,1,4,0
487,0,10,0
487,1,6,0
488,0,20,0
488,1,5,0
489,0,5,0
489,1,2,0
490,0,10,0
490,1,2,0
491,0,4,0
491,1,0,0
492,0,2,0
492,1,4,0
493,0,27,0
493,1,0,0
495,0,4,0
495,1,8,0
496,0,10,0
496,1,10,0
498,0,20,0
498,1,21,0
499,0,0,0
499,1,0,0
501,0,14,0
501,1,30,0
503,0,7.5,0
503,1,35,0
506,0,3,0
506,1,3,0
509,0,3,0
509,1,5.5,0
510,0,7,0
510,1,2.5,0
511,0,4,0
511,1,3,0
514,0,5,0
514,1,23,0
515,0,7,0
515,1,5,0
516,0,6,0
516,1,2,0
521,0,2.5,0
521,1,0,0
522,0,2,0
522,1,3,0
