id_,year,getaid,welfare1,wrkstat,age,educ,sex,race,incom16,income,rincome,partyid
28,1986,2. NO,2. AGREE,2. Working part time,20,14,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",9. $10000 - 14999,5. Not very strong republican
29,1986,2. NO,1. STRONGLY AGREE,1. Working full time,29,12,1. MALE,1. White,3. AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,1. Not very strong democrat
30,1986,2. NO,4. STRONGLY DISAGREE,8. Other,23,8,2. FEMALE,1. White,2. BELOW AVERAGE,.d,.i,"4. Independent, close to republican"
31,1986,2. NO,2. AGREE,1. Working full time,30,16,2. FEMALE,1. White,4. ABOVE AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,"4. Independent, close to republican"
32,1986,2. NO,1. STRONGLY AGREE,1. Working full time,34,12,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",9. $10000 - 14999,5. Not very strong republican
33,1986,2. NO,1. STRONGLY AGREE,1. Working full time,46,14,2. FEMALE,2. Black,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,1. Not very strong democrat
34,1986,1. YES,2. AGREE,7. Keeping house,36,13,2. FEMALE,2. Black,2. BELOW AVERAGE,"5. $5,000 to $5,999",.i,0. Strong democrat
35,1986,2. NO,2. AGREE,7. Keeping house,22,12,2. FEMALE,3. Other,1. FAR BELOW AVERAGE,"12. $25,000 or more",7. $7000 TO 7999,1. Not very strong democrat
36,1986,2. NO,1. STRONGLY AGREE,2. Working part time,22,15,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",10. $15000 - 19999,6. Strong republican
37,1986,2. NO,2. AGREE,7. Keeping house,78,8,2. FEMALE,1. White,3. AVERAGE,.d,.i,0. Strong democrat
38,1986,2. NO,2. AGREE,1. Working full time,57,12,1. MALE,1. White,1. FAR BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
39,1986,2. NO,1. STRONGLY AGREE,1. Working full time,40,18,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"3. Independent (neither, no response)"
40,1986,2. NO,1. STRONGLY AGREE,1. Working full time,58,12,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",9. $10000 - 14999,"3. Independent (neither, no response)"
41,1986,2. NO,1. STRONGLY AGREE,1. Working full time,27,18,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"4. Independent, close to republican"
42,1986,2. NO,2. AGREE,1. Working full time,34,14,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"3. Independent (neither, no response)"
43,1986,2. NO,1. STRONGLY AGREE,5. Retired,70,12,2. FEMALE,1. White,3. AVERAGE,.r,.i,6. Strong republican
44,1986,2. NO,2. AGREE,1. Working full time,30,16,2. FEMALE,1. White,3. AVERAGE,"10. $15,000 to $19,999",10. $15000 - 19999,5. Not very strong republican
45,1986,2. NO,1. STRONGLY AGREE,"4. Unemployed, laid off, looking for work",24,12,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",11. $20000 - 24999,"3. Independent (neither, no response)"
46,1986,2. NO,2. AGREE,2. Working part time,19,11,1. MALE,1. White,4. ABOVE AVERAGE,.d,2. $1000 TO 2999,5. Not very strong republican
47,1986,2. NO,2. AGREE,1. Working full time,29,12,1. MALE,3. Other,3. AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,"3. Independent (neither, no response)"
48,1986,1. YES,2. AGREE,2. Working part time,38,14,2. FEMALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",2. $1000 TO 2999,0. Strong democrat
49,1986,2. NO,1. STRONGLY AGREE,5. Retired,69,10,2. FEMALE,1. White,4. ABOVE AVERAGE,"9. $10,000 to $14,999",.i,"3. Independent (neither, no response)"
50,1986,2. NO,2. AGREE,6. In school,24,12,1. MALE,1. White,3. AVERAGE,.d,3. $3000 TO 3999,"3. Independent (neither, no response)"
51,1986,2. NO,2. AGREE,1. Working full time,42,16,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,0. Strong democrat
52,1986,2. NO,1. STRONGLY AGREE,1. Working full time,22,12,1. MALE,1. White,3. AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,"2. Independent, close to democrat"
53,1986,1. YES,1. STRONGLY AGREE,1. Working full time,26,11,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",10. $15000 - 19999,"3. Independent (neither, no response)"
54,1986,2. NO,2. AGREE,1. Working full time,28,15,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
55,1986,2. NO,1. STRONGLY AGREE,1. Working full time,22,9,1. MALE,1. White,3. AVERAGE,"9. $10,000 to $14,999",9. $10000 - 14999,1. Not very strong democrat
56,1986,1. YES,1. STRONGLY AGREE,1. Working full time,49,10,1. MALE,1. White,4. ABOVE AVERAGE,"11. $20,000 to $24,999",10. $15000 - 19999,1. Not very strong democrat
57,1986,2. NO,2. AGREE,5. Retired,67,11,2. FEMALE,1. White,3. AVERAGE,"8. $8,000 to $9,999",.i,"2. Independent, close to democrat"
58,1986,1. YES,1. STRONGLY AGREE,1. Working full time,49,6,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"2. Independent, close to democrat"
59,1986,2. NO,2. AGREE,1. Working full time,63,14,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
60,1986,2. NO,2. AGREE,1. Working full time,34,13,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",4. $4000 TO 4999,1. Not very strong democrat
61,1986,2. NO,2. AGREE,1. Working full time,64,12,1. MALE,3. Other,2. BELOW AVERAGE,"10. $15,000 to $19,999",10. $15000 - 19999,0. Strong democrat
62,1986,2. NO,3. DISAGREE,1. Working full time,31,20,1. MALE,2. Black,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,1. Not very strong democrat
63,1986,2. NO,2. AGREE,7. Keeping house,86,6,2. FEMALE,2. Black,2. BELOW AVERAGE,"5. $5,000 to $5,999",.i,1. Not very strong democrat
64,1986,2. NO,2. AGREE,6. In school,22,15,1. MALE,2. Black,3. AVERAGE,"7. $7,000 to $7,999",7. $7000 TO 7999,0. Strong democrat
65,1986,2. NO,3. DISAGREE,7. Keeping house,46,12,2. FEMALE,2. Black,3. AVERAGE,"12. $25,000 or more",.i,1. Not very strong democrat
66,1986,2. NO,2. AGREE,7. Keeping house,74,12,2. FEMALE,2. Black,2. BELOW AVERAGE,"8. $8,000 to $9,999",.i,0. Strong democrat
67,1986,2. NO,1. STRONGLY AGREE,1. Working full time,41,12,1. MALE,2. Black,1. FAR BELOW AVERAGE,"12. $25,000 or more",10. $15000 - 19999,"2. Independent, close to democrat"
68,1986,1. YES,1. STRONGLY AGREE,7. Keeping house,27,15,2. FEMALE,2. Black,2. BELOW AVERAGE,"12. $25,000 or more",11. $20000 - 24999,0. Strong democrat
69,1986,2. NO,2. AGREE,2. Working part time,.n,14,2. FEMALE,2. Black,3. AVERAGE,"12. $25,000 or more",10. $15000 - 19999,1. Not very strong democrat
70,1986,2. NO,2. AGREE,7. Keeping house,.n,16,1. MALE,1. White,5. FAR ABOVE AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,7. Other party
71,1986,2. NO,2. AGREE,1. Working full time,30,16,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"4. Independent, close to republican"
72,1986,2. NO,2. AGREE,6. In school,23,17,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",7. $7000 TO 7999,5. Not very strong republican
73,1986,2. NO,1. STRONGLY AGREE,2. Working part time,29,17,2. FEMALE,1. White,2. BELOW AVERAGE,"11. $20,000 to $24,999",9. $10000 - 14999,"4. Independent, close to republican"
74,1986,2. NO,3. DISAGREE,1. Working full time,44,16,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"3. Independent (neither, no response)"
75,1986,1. YES,2. AGREE,5. Retired,70,7,1. MALE,1. White,2. BELOW AVERAGE,"6. $6,000 to $6,999",.i,1. Not very strong democrat
76,1986,2. NO,3. DISAGREE,1. Working full time,23,13,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
77,1986,2. NO,3. DISAGREE,2. Working part time,.n,14,2. FEMALE,1. White,4. ABOVE AVERAGE,.r,.r,5. Not very strong republican
78,1986,2. NO,1. STRONGLY AGREE,1. Working full time,48,12,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,6. Strong republican
79,1986,2. NO,3. DISAGREE,1. Working full time,44,18,1. MALE,1. White,1. FAR BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"2. Independent, close to democrat"
80,1986,2. NO,3. DISAGREE,1. Working full time,46,17,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,0. Strong democrat
81,1986,1. YES,2. AGREE,7. Keeping house,71,12,2. FEMALE,1. White,1. FAR BELOW AVERAGE,.d,.i,"2. Independent, close to democrat"
82,1986,2. NO,3. DISAGREE,1. Working full time,42,16,2. FEMALE,1. White,2. BELOW AVERAGE,"11. $20,000 to $24,999",11. $20000 - 24999,1. Not very strong democrat
83,1986,.n,2. AGREE,1. Working full time,60,16,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,6. Strong republican
84,1986,2. NO,4. STRONGLY DISAGREE,1. Working full time,44,18,1. MALE,1. White,.n,"12. $25,000 or more",.r,"3. Independent (neither, no response)"
85,1986,2. NO,2. AGREE,2. Working part time,40,12,2. FEMALE,1. White,3. AVERAGE,"11. $20,000 to $24,999",2. $1000 TO 2999,6. Strong republican
86,1986,2. NO,2. AGREE,1. Working full time,27,13,2. FEMALE,3. Other,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"3. Independent (neither, no response)"
87,1986,2. NO,2. AGREE,1. Working full time,26,19,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",.i,1. Not very strong democrat
88,1986,2. NO,2. AGREE,1. Working full time,49,13,1. MALE,3. Other,2. BELOW AVERAGE,"11. $20,000 to $24,999",10. $15000 - 19999,1. Not very strong democrat
89,1986,1. YES,2. AGREE,1. Working full time,56,9,2. FEMALE,1. White,2. BELOW AVERAGE,"9. $10,000 to $14,999",9. $10000 - 14999,1. Not very strong democrat
90,1986,1. YES,2. AGREE,1. Working full time,29,12,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"4. Independent, close to republican"
91,1986,2. NO,1. STRONGLY AGREE,1. Working full time,62,6,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"4. Independent, close to republican"
92,1986,2. NO,3. DISAGREE,1. Working full time,37,10,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",10. $15000 - 19999,"2. Independent, close to democrat"
93,1986,2. NO,2. AGREE,2. Working part time,41,12,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",6. $6000 TO 6999,1. Not very strong democrat
94,1986,2. NO,2. AGREE,5. Retired,77,12,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",.i,6. Strong republican
95,1986,2. NO,2. AGREE,1. Working full time,61,11,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",7. $7000 TO 7999,1. Not very strong democrat
96,1986,2. NO,2. AGREE,1. Working full time,45,13,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",10. $15000 - 19999,"2. Independent, close to democrat"
97,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,84,6,2. FEMALE,1. White,2. BELOW AVERAGE,.d,.i,6. Strong republican
98,1986,2. NO,2. AGREE,5. Retired,72,9,1. MALE,1. White,2. BELOW AVERAGE,"9. $10,000 to $14,999",.i,6. Strong republican
99,1986,1. YES,1. STRONGLY AGREE,7. Keeping house,29,12,2. FEMALE,1. White,1. FAR BELOW AVERAGE,"7. $7,000 to $7,999",.i,"2. Independent, close to democrat"
100,1986,2. NO,1. STRONGLY AGREE,2. Working part time,32,12,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",7. $7000 TO 7999,"3. Independent (neither, no response)"
101,1986,2. NO,1. STRONGLY AGREE,1. Working full time,51,12,1. MALE,2. Black,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,0. Strong democrat
102,1986,1. YES,4. STRONGLY DISAGREE,"4. Unemployed, laid off, looking for work",26,12,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",2. $1000 TO 2999,"4. Independent, close to republican"
103,1986,2. NO,2. AGREE,1. Working full time,33,14,1. MALE,2. Black,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,1. Not very strong democrat
104,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,68,10,2. FEMALE,1. White,3. AVERAGE,"11. $20,000 to $24,999",.i,6. Strong republican
105,1986,2. NO,1. STRONGLY AGREE,1. Working full time,44,12,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"4. Independent, close to republican"
106,1986,2. NO,3. DISAGREE,1. Working full time,35,16,1. MALE,1. White,4. ABOVE AVERAGE,"9. $10,000 to $14,999",9. $10000 - 14999,1. Not very strong democrat
107,1986,2. NO,3. DISAGREE,1. Working full time,32,12,1. MALE,1. White,3. AVERAGE,"9. $10,000 to $14,999",9. $10000 - 14999,"2. Independent, close to democrat"
108,1986,2. NO,1. STRONGLY AGREE,5. Retired,66,8,1. MALE,1. White,2. BELOW AVERAGE,"7. $7,000 to $7,999",.i,"3. Independent (neither, no response)"
109,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,71,5,2. FEMALE,1. White,1. FAR BELOW AVERAGE,"5. $5,000 to $5,999",.i,0. Strong democrat
110,1986,1. YES,1. STRONGLY AGREE,1. Working full time,46,5,1. MALE,3. Other,2. BELOW AVERAGE,"12. $25,000 or more",9. $10000 - 14999,0. Strong democrat
111,1986,1. YES,3. DISAGREE,7. Keeping house,47,10,2. FEMALE,1. White,3. AVERAGE,"2. $1,000 to $2,999",.i,"3. Independent (neither, no response)"
112,1986,1. YES,2. AGREE,1. Working full time,31,17,1. MALE,1. White,2. BELOW AVERAGE,"10. $15,000 to $19,999",10. $15000 - 19999,"4. Independent, close to republican"
113,1986,2. NO,1. STRONGLY AGREE,1. Working full time,54,9,2. FEMALE,2. Black,1. FAR BELOW AVERAGE,"9. $10,000 to $14,999",9. $10000 - 14999,0. Strong democrat
114,1986,1. YES,3. DISAGREE,"4. Unemployed, laid off, looking for work",51,11,1. MALE,2. Black,5. FAR ABOVE AVERAGE,"5. $5,000 to $5,999",.i,0. Strong democrat
115,1986,1. YES,3. DISAGREE,"4. Unemployed, laid off, looking for work",46,12,2. FEMALE,2. Black,3. AVERAGE,"3. $3,000 to $3,999",.i,5. Not very strong republican
116,1986,2. NO,1. STRONGLY AGREE,5. Retired,73,8,2. FEMALE,2. Black,1. FAR BELOW AVERAGE,"4. $4,000 to $4,999",.i,"2. Independent, close to democrat"
117,1986,1. YES,2. AGREE,8. Other,67,9,2. FEMALE,2. Black,2. BELOW AVERAGE,"3. $3,000 to $3,999",.i,1. Not very strong democrat
118,1986,1. YES,4. STRONGLY DISAGREE,6. In school,44,12,2. FEMALE,2. Black,3. AVERAGE,"4. $4,000 to $4,999",.i,"3. Independent (neither, no response)"
119,1986,2. NO,2. AGREE,1. Working full time,52,16,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"3. Independent (neither, no response)"
120,1986,2. NO,2. AGREE,1. Working full time,39,16,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"2. Independent, close to democrat"
121,1986,2. NO,2. AGREE,1. Working full time,42,20,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,1. Not very strong democrat
122,1986,2. NO,2. AGREE,2. Working part time,42,17,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",1. LT $1000,"4. Independent, close to republican"
123,1986,2. NO,1. STRONGLY AGREE,1. Working full time,43,17,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,6. Strong republican
124,1986,1. YES,2. AGREE,7. Keeping house,54,12,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",.i,"2. Independent, close to democrat"
125,1986,2. NO,2. AGREE,1. Working full time,37,12,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,7. Other party
126,1986,1. YES,3. DISAGREE,1. Working full time,40,12,2. FEMALE,1. White,3. AVERAGE,"10. $15,000 to $19,999",10. $15000 - 19999,0. Strong democrat
127,1986,1. YES,2. AGREE,1. Working full time,30,16,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
128,1986,2. NO,2. AGREE,1. Working full time,29,15,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
129,1986,2. NO,2. AGREE,1. Working full time,45,13,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"3. Independent (neither, no response)"
130,1986,2. NO,2. AGREE,1. Working full time,21,12,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",2. $1000 TO 2999,"3. Independent (neither, no response)"
131,1986,2. NO,2. AGREE,"3. With a job, but not at work because of temporary illness, vacation, strike",27,12,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",10. $15000 - 19999,"3. Independent (neither, no response)"
132,1986,2. NO,2. AGREE,1. Working full time,43,10,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"2. Independent, close to democrat"
133,1986,2. NO,1. STRONGLY AGREE,"3. With a job, but not at work because of temporary illness, vacation, strike",42,12,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",.i,5. Not very strong republican
134,1986,2. NO,2. AGREE,1. Working full time,43,17,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,1. Not very strong democrat
135,1986,2. NO,2. AGREE,"3. With a job, but not at work because of temporary illness, vacation, strike",30,16,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",3. $3000 TO 3999,5. Not very strong republican
136,1986,2. NO,2. AGREE,1. Working full time,34,14,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"4. Independent, close to republican"
137,1986,2. NO,1. STRONGLY AGREE,1. Working full time,38,16,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,6. Strong republican
138,1986,2. NO,2. AGREE,1. Working full time,36,16,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
139,1986,2. NO,2. AGREE,7. Keeping house,60,12,2. FEMALE,1. White,3. AVERAGE,"8. $8,000 to $9,999",8. $8000 TO 9999,6. Strong republican
140,1986,2. NO,2. AGREE,5. Retired,77,16,2. FEMALE,1. White,3. AVERAGE,"8. $8,000 to $9,999",.i,"4. Independent, close to republican"
141,1986,2. NO,2. AGREE,1. Working full time,43,17,1. MALE,2. Black,4. ABOVE AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,0. Strong democrat
142,1986,2. NO,1. STRONGLY AGREE,1. Working full time,36,12,2. FEMALE,2. Black,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,0. Strong democrat
143,1986,2. NO,2. AGREE,5. Retired,63,3,1. MALE,2. Black,3. AVERAGE,"6. $6,000 to $6,999",.i,"4. Independent, close to republican"
144,1986,2. NO,2. AGREE,1. Working full time,35,12,1. MALE,2. Black,3. AVERAGE,"11. $20,000 to $24,999",10. $15000 - 19999,0. Strong democrat
145,1986,2. NO,2. AGREE,1. Working full time,24,16,2. FEMALE,2. Black,2. BELOW AVERAGE,"10. $15,000 to $19,999",9. $10000 - 14999,1. Not very strong democrat
146,1986,2. NO,1. STRONGLY AGREE,1. Working full time,63,12,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",11. $20000 - 24999,"4. Independent, close to republican"
147,1986,2. NO,2. AGREE,5. Retired,76,10,1. MALE,1. White,3. AVERAGE,"9. $10,000 to $14,999",.i,6. Strong republican
148,1986,2. NO,2. AGREE,7. Keeping house,42,16,2. FEMALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",.i,5. Not very strong republican
149,1986,2. NO,1. STRONGLY AGREE,5. Retired,76,16,1. MALE,1. White,4. ABOVE AVERAGE,"7. $7,000 to $7,999",.i,"3. Independent (neither, no response)"
150,1986,2. NO,1. STRONGLY AGREE,1. Working full time,56,18,1. MALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",11. $20000 - 24999,"4. Independent, close to republican"
151,1986,2. NO,2. AGREE,5. Retired,68,12,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",.i,6. Strong republican
152,1986,2. NO,2. AGREE,6. In school,19,12,1. MALE,1. White,3. AVERAGE,.d,.i,6. Strong republican
153,1986,2. NO,2. AGREE,7. Keeping house,74,10,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",.i,6. Strong republican
154,1986,2. NO,2. AGREE,1. Working full time,63,16,2. FEMALE,1. White,3. AVERAGE,.r,.r,5. Not very strong republican
155,1986,2. NO,.d,1. Working full time,50,20,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
156,1986,2. NO,2. AGREE,5. Retired,64,13,2. FEMALE,1. White,3. AVERAGE,"11. $20,000 to $24,999",.i,6. Strong republican
157,1986,2. NO,3. DISAGREE,1. Working full time,47,20,1. MALE,1. White,3. AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,"2. Independent, close to democrat"
158,1986,2. NO,2. AGREE,1. Working full time,54,12,2. FEMALE,1. White,4. ABOVE AVERAGE,"12. $25,000 or more",5. $5000 TO 5999,1. Not very strong democrat
159,1986,2. NO,3. DISAGREE,1. Working full time,56,16,2. FEMALE,1. White,3. AVERAGE,.d,12. $25000 OR MORE,0. Strong democrat
160,1986,2. NO,2. AGREE,2. Working part time,42,16,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,5. Not very strong republican
161,1986,2. NO,2. AGREE,7. Keeping house,35,12,2. FEMALE,1. White,3. AVERAGE,"11. $20,000 to $24,999",.i,"2. Independent, close to democrat"
162,1986,2. NO,2. AGREE,6. In school,20,13,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",2. $1000 TO 2999,5. Not very strong republican
163,1986,2. NO,1. STRONGLY AGREE,7. Keeping house,27,12,2. FEMALE,1. White,3. AVERAGE,"12. $25,000 or more",.i,"4. Independent, close to republican"
164,1986,2. NO,1. STRONGLY AGREE,1. Working full time,54,12,1. MALE,1. White,2. BELOW AVERAGE,"12. $25,000 or more",12. $25000 OR MORE,6. Strong republican
