state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch,mrall_10k,mralln_10k,mra1517_10k,mra1517n_10k,mra1820_10k,mra1820n_10k,mra2124_10k,mra2124n_10k,mraidall_10k
4,1988,1.6799999475479126,6.300000190734863,14408.0849609375,60.49766540527344,0.34648701548576355,3.563999891281128,4.413990020751953,21,0,0.16100500524044037,9815.720703125,0,1,1,944,2.705650113057345e-4,136,3.897969872923568e-5,67,54,3.648650017566979e-4,14,9.459500142838806e-5,100,14,6.369400070980191e-4,8.91719973878935e-5,116,5.321099888533354e-4,31,1.422019995516166e-4,238.23399353027344,6.828099867561832e-5,3488995,147999.9375,157000.65625,218000.046875,34247,5.5,62.30000305175781,0.026567842811346054,2.705650113057345,0.3897969872923568,3.648650017566979,0.9459500142838806,6.369400070980191,0.891719973878935,5.321099888533354,1.422019995516166,0.6828099867561832
5,1982,1.190000057220459,9.800000190734863,10267.302734375,54.47585678100586,0.6503580212593079,22.967199325561523,0.3282899856567383,21,36.712799072265625,0.2049030065536499,7208.50048828125,0,0,0,550,2.3840500216465443e-4,102,4.4213298679096624e-5,64,36,2.950819907709956e-4,5,4.098399949725717e-5,62,24,5.112579674459994e-4,1.9790629448834807e-4,61,3.8853500154800713e-4,18,1.1464999988675117e-4,271.4590148925781,1.1766800162149593e-4,2306998.5,121999.9921875,121269.5,157000.015625,16630,9.699999809265137,57.79999923706055,-0.03473382443189621,2.3840500216465443,0.44213298679096624,2.950819907709956,0.40983999497257173,5.112579674459994,1.9790629448834807,3.8853500154800713,1.1464999988675117,1.1766800162149593
5,1983,1.2000000476837158,10.100000381469727,10433.486328125,53.81479263305664,0.6754587292671204,23.000900268554688,0.3434099853038788,21,36.43009948730469,0.19416899979114532,7175.9169921875,0,0,0,557,2.3956999939400703e-4,88,3.784949876717292e-5,47,35,2.9661000007763505e-4,2,1.694899947324302e-5,65,19,5.385337281040847e-4,1.5741755487397313e-4,73,4.5911900815553963e-4,22,1.3836499419994652e-4,247.85699462890625,1.0660500265657902e-4,2324999,118000.0703125,120698.1015625,159000.171875,16684,9.600000381469727,57.900001525878906,0.04014439508318901,2.3956999939400703,0.3784949876717292,2.9661000007763505,0.1694899947324302,5.385337281040847,1.5741755487397313,4.591190081555396,1.3836499419994652,1.0660500265657902
5,1984,1.2200000286102295,8.899999618530273,10916.4833984375,54.67127990722656,0.598901093006134,23.03459930419922,0.35923999547958374,21,36.104000091552734,0.18637999892234802,7084.81982421875,0,0,0,525,2.2378499852493405e-4,81,3.452689998084679e-5,48,34,2.9565198929049075e-4,2,1.7390999346389435e-5,72,24,5.993537488393486e-4,1.997845683945343e-4,67,4.1358001180924475e-4,18,1.1111100320704281e-4,182.70700073242187,7.788000220898539e-5,2346001.75,115000.0703125,120129.390625,162000.09375,16621,7.5,59.500003814697266,0.08359731733798981,2.2378499852493405,0.3452689998084679,2.9565198929049075,0.17390999346389435,5.9935374883934855,1.997845683945343,4.1358001180924475,1.1111100320704281,0.7788000220898539
5,1985,1.1200000047683716,8.699999809265137,11149.3642578125,54.97711944580078,0.5773305296897888,23.06839942932129,0.375789999961853,21,35.904998779296875,0.18929199874401093,7253.91796875,0,0,0,534,2.263670030515641e-4,73,3.094529893132858e-5,43,45,3.9823001134209335e-4,7,6.194700108608231e-5,56,13,4.683708830270916e-4,1.0872895654756576e-4,57,3.540370089467615e-4,19,1.1801200162153691e-4,198.1540069580078,8.39990025269799e-5,2359001,113000.0234375,119563.3671875,161000.125,17112,7.199999809265137,60.10000228881836,0.004602178931236267,2.263670030515641,0.3094529893132858,3.9823001134209335,0.6194700108608231,4.683708830270916,1.0872895654756576,3.540370089467615,1.180120016215369,0.8399900252697989
5,1986,0.9200000166893005,8.699999809265137,11399.380859375,55.56186294555664,0.562435507774353,23.10219955444336,0.3931100070476532,21,39.56959915161133,0.16195699572563171,7468.9990234375,0,0,0,603,2.543230075389147e-4,108,4.555040140985511e-5,67,48,4.1739101288840175e-4,7,6.086999928811565e-5,66,22,5.546218599192798e-4,1.848739484557882e-4,78,5.379309877753258e-4,22,1.5172400162555277e-4,237.51699829101562,1.0017600288847461e-4,2371000.5,115000.078125,119000,145000.015625,17709,7,60.70000076293945,0.029769236221909523,2.543230075389147,0.4555040140985511,4.1739101288840175,0.6086999928811565,5.546218599192798,1.848739484557882,5.379309877753258,1.5172400162555277,1.0017600288847461
5,1987,1.0099999904632568,8.100000381469727,11537,56.330894470214844,0.5450000166893005,23.13610076904297,0.4112299978733063,21,39.287899017333984,0.1641319990158081,7665.83056640625,0,0,0,639,2.675880095921457e-4,110,4.606369839166291e-5,61,58,5.000000237487257e-4,15,1.2931000674143434e-4,72,19,6.153800059109926e-4,1.6239300020970404e-4,65,4.5774600584991276e-4,17,1.1971800267929211e-4,221.90499877929687,9.292500180890784e-5,2387999.5,115999.9921875,117000.875,142000.140625,18306,6.199999809265137,61.5,0.0019300312269479036,2.675880095921457,0.4606369839166291,5.0000002374872565,1.2931000674143434,6.153800059109926,1.6239300020970404,4.577460058499128,1.1971800267929211,0.9292500180890784
5,1988,0.9900000095367432,7.699999809265137,11760.3466796875,57.36695098876953,0.5245428681373596,23.170000076293945,0.43018001317977905,21,39.287899017333984,0.1675409972667694,8024.62548828125,0,0,0,610,2.546969917602837e-4,86,3.590809865272604e-5,55,41,3.596490132622421e-4,6,5.2632000006269664e-5,61,16,5.545499734580517e-4,1.4545499288942665e-4,69,4.726029874291271e-4,21,1.4383600500877947e-4,208.85000610351562,8.720099867787212e-5,2395002.75,114000.03125,109999.1015625,145999.921875,19219,5.5,62.30000305175781,0.03373350575566292,2.546969917602837,0.3590809865272604,3.596490132622421,0.5263200000626966,5.545499734580517,1.4545499288942665,4.726029874291271,1.4383600500877947,0.8720099867787212
6,1982,2.2100000381469727,9.899999618530273,15797.1357421875,59.51593017578125,0.10739856958389282,1.723099946975708,1.6785399913787842,21,0,0.1901959925889969,6858.6767578125,0,0,0,4615,1.8619399634189904e-4,944,3.808600013144314e-5,553,241,2.0829700224567205e-4,61,5.2723000408150256e-5,567,161,4.2921886779367924e-4,1.2187696120236069e-4,758,4.004230140708387e-4,249,1.3153700274415314e-4,1379.1300048828125,5.5641001381445676e-5,24785976,1157001.75,1321004.375,1892998.125,169999,9.699999809265137,57.79999923706055,-0.011686022393405437,1.8619399634189904,0.38086000131443143,2.0829700224567205,0.5272300040815026,4.292188677936792,1.218769612023607,4.004230140708387,1.3153700274415314,0.5564100138144568
6,1983,2.1500000953674316,9.699999809265137,15970.18359375,59.25233459472656,0.10321101546287537,1.7346999645233154,1.6679199934005737,21,0,0.18356899917125702,7216.29150390625,0,0,0,4573,1.806719956221059e-4,856,3.3819298550952226e-5,487,232,2.060389961116016e-4,39,3.4635999327292666e-5,513,141,3.916439600288868e-4,1.0764483158709481e-4,702,3.722159890457988e-4,206,1.0922599904006347e-4,1251.5999755859375,4.944900138070807e-5,25311062,1126000.5,1309863.125,1886001.75,182652,9.600000381469727,57.900001525878906,0.053036682307720184,1.806719956221059,0.33819298550952226,2.060389961116016,0.34635999327292666,3.916439600288868,1.0764483158709481,3.722159890457988,1.0922599904006347,0.4944900138070807
6,1984,2.069999933242798,7.800000190734863,16590.109375,60.69825744628906,0.09890110045671463,1.746399998664856,1.6573599576950073,21,0,0.17413100600242615,7619.17578125,0,0,0,5020,1.9461099873296916e-4,957,3.7100198824191466e-5,559,267,2.4162899353541434e-4,68,6.153799768071622e-5,593,177,4.5656971633434296e-4,1.3627797306980938e-4,770,4.1088598663918674e-4,215,1.1472799815237522e-4,1421.8199462890625,5.511999916052446e-5,25795048,1104999.875,1298815.875,1873999.125,196537,7.5,59.500003814697266,0.07246099412441254,1.9461099873296916,0.37100198824191466,2.4162899353541434,0.6153799768071622,4.56569716334343,1.3627797306980938,4.108859866391867,1.1472799815237522,0.5511999916052446
6,1985,1.9700000286102295,7.199999809265137,16985.169921875,61.33170700073242,0.09533898532390594,1.7582000494003296,1.6468700170516968,21,0,0.16789600253105164,7874.06689453125,0,0,0,4960,1.881280040834099e-4,887,3.364310032338835e-5,499,302,2.7305600815452635e-4,65,5.877000148757361e-5,545,139,4.2318206396885216e-4,1.0793084220495075e-4,762,4.1078199865296483e-4,226,1.218329998664558e-4,1243.9200439453125,4.718100171885453e-5,26365028,1106000.25,1287861.75,1854998.5,207600,7.199999809265137,60.10000228881836,0.048330504447221756,1.881280040834099,0.33643100323388353,2.7305600815452635,0.5877000148757361,4.231820639688522,1.0793084220495075,4.107819986529648,1.218329998664558,0.4718100171885453
6,1986,1.850000023841858,6.699999809265137,17356.037109375,62.00846862792969,0.09287925809621811,1.7700999975204468,1.6364400386810303,21,0,0.16437099874019623,8034.91015625,0,0,0,5253,1.9454800349194556e-4,880,3.259140066802502e-5,510,318,2.713309950195253e-4,62,5.290099943522364e-5,571,141,4.4714173418469727e-4,1.1041503603337333e-4,757,4.284100141376257e-4,185,1.0469699918758124e-4,1309.9100341796875,4.851300036534667e-5,27001048,1172000.25,1277000,1766998.875,216951,7,60.70000076293945,0.04668143019080162,1.9454800349194556,0.32591400668025017,2.713309950195253,0.5290099943522364,4.471417341846973,1.1041503603337333,4.284100141376257,1.0469699918758124,0.4851300036534667
6,1987,1.7799999713897705,5.800000190734863,17846,63.07429504394531,0.09000000357627869,1.782099962234497,1.62608003616333,21,0,0.16068199276924133,8180.63330078125,0,0,0,5504,1.989659940591082e-4,944,3.412500154809095e-5,531,302,2.596729900687933e-4,50,4.299200008972548e-5,601,137,4.739699943456799e-4,1.0804399789776653e-4,717,4.0878000436350703e-4,199,1.1345499660819769e-4,1431.5699462890625,5.1750001148320735e-005,27663018,1163001.25,1268012.75,1753999.75,226301,6.199999809265137,61.5,0.06973634660243988,1.989659940591082,0.3412500154809095,2.596729900687933,0.4299200008972548,4.739699943456799,1.0804399789776653,4.08780004363507,1.134549966081977,0.5175000114832073
6,1988,1.7200000286102295,5.300000190734863,18049.0859375,63.78365707397461,0.08662175387144089,1.794100046157837,1.615779995918274,21,0,0.14868399500846863,8531.990234375,0,NA,NA,5390,1.903649972518906e-4,936,3.305789869045839e-5,541,246,2.1827900491189212e-4,48,4.259100023773499e-5,583,144,4.7475998871959746e-4,1.1726399679901078e-4,702,3.966100048273802e-4,197,1.1129899939987808e-4,1246.7099609375,4.403200000524521e-5,28314028,1126998,1227988.875,1770000.75,241575.015625,5.5,62.30000305175781,0.04902037978172302,1.903649972518906,0.33057898690458387,2.182790049118921,0.4259100023773499,4.747599887195975,1.1726399679901078,3.966100048273802,1.1129899939987808,0.4403200000524521
8,1982,2.25,7.699999809265137,15082.3388671875,64.96673583984375,0.21479713916778564,2.299999952316284,1.823009967803955,21,0.11315099895000458,0.2291480004787445,7742.841796875,0,0,1,668,2.17448003240861e-4,140,4.557289867079817e-5,96,27,1.888109982246533e-4,5,3.4964999940712005e-5,91,36,5.354300374165177e-4,2.1181847841944546e-4,100,4.065039975102991e-4,35,1.4227599604055285e-4,219.75,7.153500337153673e-5,3071998.75,143000.140625,169956.84375,246000.046875,23786,9.699999809265137,57.79999923706055,0.01204304862767458,2.17448003240861,0.4557289867079817,1.888109982246533,0.34964999940712005,5.354300374165177,2.1181847841944546,4.065039975102991,1.4227599604055285,0.7153500337153673
8,1983,2.1500000953674316,6.599999904632568,15131.880859375,67.30021667480469,0.20642203092575073,2.299999952316284,1.8346199989318848,21,0.0908219963312149,0.20765799283981323,7656.06298828125,1,0,1,646,2.0514399511739612e-4,146,4.636390076484531e-5,92,44,3.1428600777871907e-4,12,8.571399666834623e-5,68,20,4.0555375744588673e-4,1.192805211758241e-4,98,4.032920114696026e-4,30,1.2345699360594153e-4,217.35000610351562,6.902099994476885e-5,3149007.5,139999.875,167671.96875,243000.109375,24109,9.600000381469727,57.900001525878906,0.029179397970438004,2.051439951173961,0.4636390076484531,3.1428600777871907,0.8571399666834623,4.055537574458867,1.192805211758241,4.032920114696026,1.2345699360594153,0.6902099994476885
8,1984,2.1500000953674316,5.599999904632568,15486.8134765625,68.66242218017578,0.19780220091342926,2.299999952316284,1.846310019493103,21,0.07586199790239334,0.19215500354766846,7707.8525390625,1,0,1,608,1.905959943542257e-4,104,3.2601899874862283e-5,73,53,3.868610074277967e-4,14,1.0219000250799581e-4,71,14,4.2921616113744676e-4,8.463417179882526e-5,101,4.225939919706434e-4,28,1.1715500295395032e-4,202.94000244140625,6.361799751175568e-5,3189993.5,137000.109375,165417.8125,239000.078125,24588,7.5,59.500003814697266,0.05534724146127701,1.905959943542257,0.32601899874862283,3.868610074277967,1.0219000250799581,4.292161611374468,0.8463417179882526,4.225939919706434,1.1715500295395032,0.6361799751175568
8,1985,2.049999952316284,5.900000095367432,15569.9150390625,67.8541488647461,0.1906779706478119,2.299999952316284,1.8580800294876099,21,0.07489900290966034,0.1920280009508133,8092.20947265625,1,0,1,579,1.792010007193312e-4,96,2.9712200557696633e-5,63,35,2.554740058258176e-4,7,5.109500125399791e-5,58,16,3.554053255356848e-4,9.804284491110593e-5,100,4.291849909350276e-4,28,1.2017200060654432e-4,186.72999572753906,5.779300045105629e-5,3231008.75,137000.234375,163193.953125,232999.765625,26146,7.199999809265137,60.10000228881836,0.024307647719979286,1.792010007193312,0.29712200557696633,2.554740058258176,0.5109500125399791,3.5540532553568482,0.9804284491110593,4.291849909350276,1.2017200060654432,0.5779300045105629
8,1986,1.809999942779541,7.400000095367432,15616.0986328125,64.98344421386719,0.18575851619243622,2.299999952316284,1.8699100017547607,21,0.07409700006246567,0.19210000336170197,8131.37451171875,1,0,1,603,1.8463000014889985e-4,116,3.551749978214502e-5,75,50,3.401360008865595e-4,9,6.122399645391852e-5,76,18,4.7204969450831413e-4,1.1180124420206994e-4,101,4.57013986306265e-4,37,1.674210070632398e-4,175.3699951171875,5.369599966797978e-5,3265991.5,147000.015625,161000,220999.796875,26557,7,60.70000076293945,0.01652609556913376,1.8463000014889985,0.35517499782145023,3.401360008865595,0.6122399645391852,4.720496945083141,1.1180124420206994,4.57013986306265,1.6742100706323981,0.5369599966797978
8,1987,1.7799999713897705,7.699999809265137,15605,64.21829986572266,0.18000000715255737,2.299999952316284,1.8818299770355225,21,0.058070000261068344,0.192999005317688,8182.02783203125,1,0,1,591,1.7930800095200539e-4,90,2.7305799449095502e-5,64,42,2.916670055128634e-4,7,4.861100023845211e-5,54,16,3.439499996602535e-4,1.0191099863732234e-4,59,2.731480053626001e-4,16,7.407399971270934e-5,140.25999450683594,4.2553001549094915e-5,3296004.5,143999.828125,156999.5625,216000.109375,26968,6.199999809265137,61.5,-0.02358230948448181,1.7930800095200539,0.273057994490955,2.916670055128634,0.48611000238452107,3.4394999966025352,1.0191099863732234,2.731480053626001,0.7407399971270934,0.42553001549094915
8,1988,1.7400000095367432,6.400000095367432,15845.04296875,65.30445098876953,0.17324350774288177,2.299999952316284,1.89382004737854,21,0.058070000261068344,0.18026000261306763,8380.7685546875,1,0,1,497,1.505599939264357e-4,93,2.8173299142508768e-5,66,33,2.426470018690452e-4,6,4.411799818626605e-5,44,16,2.95300007564947e-4,1.0738299897639081e-4,69,3.301439865026623e-4,23,1.1004800035152584e-4,132.9499969482422,4.027699833386578e-5,3301009.75,136000.03125,149001.015625,208999.71875,27664.998046875,5.5,62.30000305175781,0.008626045659184456,1.505599939264357,0.2817329914250877,2.426470018690452,0.4411799818626605,2.95300007564947,1.073829989763908,3.301439865026623,1.1004800035152584,0.40276998333865777
9,1982,2.4200000762939453,6.900000095367432,17255.369140625,61.72941970825195,0.2243436723947525,0.10000000149011612,0.23330999910831451,18.5,0.22705499827861786,0.19284099340438843,6440.0537109375,0,0,0,515,1.6469499678350985e-4,158,5.052769847679883e-5,90,39,2.294120058650151e-4,8,4.7058998461579904e-5,86,35,5.298824980854988e-4,2.1564985217992216e-4,96,4.4444401282817125e-4,42,1.9444400095380843e-4,195.11000061035156,6.239500362426043e-5,3126992.5,169999.828125,162300.140625,216000.203125,20138,9.699999809265137,57.79999923706055,-0.0029880062211304903,1.6469499678350985,0.5052769847679883,2.294120058650151,0.47058998461579904,5.298824980854988,2.1564985217992216,4.4444401282817125,1.9444400095380843,0.6239500362426043
9,1983,2.4600000381469727,6,17744.265625,62.29440689086914,0.23356308043003082,0.10000000149011612,0.2519800066947937,19.25,0.08280300348997116,0.18934999406337738,6570.04296875,0,0,0,438,1.3949000276625156e-4,118,3.757960075745359e-5,85,29,1.7682899488136172e-4,11,6.70730005367659e-5,61,28,3.801961720455438e-4,1.745162735460326e-4,87,4.027780087199062e-4,31,1.4351900608744472e-4,171.22000122070312,5.4528001783182845e-5,3140010,164000.25,160443.484375,215999.875,20630,9.600000381469727,57.900001525878906,0.0736263245344162,1.3949000276625156,0.3757960075745359,1.7682899488136172,0.670730005367659,3.801961720455438,1.745162735460326,4.027780087199062,1.4351900608744472,0.5452800178318284
9,1984,2.4100000858306885,4.599999904632568,18760.439453125,65.03468322753906,0.24801099300384521,0.10000000149011612,0.27215999364852905,20,0.08063399791717529,0.18185700476169586,6680.19287109375,0,0,0,469,1.486529945395887e-4,126,3.993659993284382e-5,85,32,2.0125799346715212e-4,6,3.773600110434927e-5,65,25,4.098151985090226e-4,1.5762123803142458e-4,81,3.75000003259629e-4,30,1.3888899411540478e-4,171.6999969482422,5.442000110633671e-5,3154998.75,158999.890625,158608.078125,216000,21076,7.5,59.500003814697266,0.07782000303268433,1.486529945395887,0.3993659993284382,2.012579934671521,0.3773600110434927,4.098151985090226,1.5762123803142458,3.75000003259629,1.3888899411540478,0.5442000110633671
